Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
542,600165,新日恒力,7.99,-0.62,0.092,-0.133,1.66,-0.087,0.091,-0.71,-0.814,2,3,5,0.63,1.02,-0.4,27.29,23.43,3.86
543,600769,祥龙电业,7.35,2.37,0.091,0.168,10.88,0.169,0.189,0.274,0.176,3,4,6,7.6,5.77,1.83,22,17.33,4.66
544,600362,江西铜业,14.07,2.63,0.091,0.1,7.27,-0.172,-0.054,-0.442,-0.373,1,2,2,10.47,7.31,3.16,33.12,32.17,0.96
545,2079,苏州固锝,7.95,0.63,0.091,0.077,4.37,-1.205,-1.335,-0.344,0.025,1,1,3,7.88,7.54,0.33,32.46,29.91,2.54
546,601872,招商轮船,3.16,1.94,0.09,0.136,20.75,0.228,0.237,0.177,0.293,1,4,5,10.99,0.73,10.26,19.61,16,3.61
547,300278,华昌达,17.06,0,0.09,-0.465,-0.56,-2.853,-4.347,-10.314,-14.769,1,1,2,0,1.48,-1.48,21.23,18.05,3.18
548,2221,东华能源,12.77,1.51,0.089,0.133,15.99,0.038,-0.019,-0.35,-0.377,1,3,3,4.18,0.15,4.03,33.28,28.2,5.08
549,2535,林州重机,11.28,0.71,0.088,-0.465,-0.75,-3.05,-5.621,-8.366,-14.194,1,1,1,2.97,2.39,0.57,22.06,21.59,0.48
550,600804,鹏博士,15.69,0.51,0.087,0.083,4.31,-0.106,-0.098,-0.733,-0.953,1,3,4,18.27,15.67,2.59,32.38,32.66,-0.29
551,600843,上工申贝,11.8,0.51,0.086,0.108,6.32,0.033,0.047,-0.687,-0.857,2,2,2,0,0,0,12.12,6.49,5.63
552,300201,海伦哲,7.34,10.04,0.086,0.008,82.52,0.593,1.219,0.443,1.228,2,4,7,75.43,0,75.43,0,0,0
