O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
329,002538,司尔特,11.50,3.23,960万,38,1128万,-354万,774万,14.27,1854万,-1667万,186万,3.43,1598万,-2041万,-444万,-8.18,809万,-1326万,-517万,-9.52
330,000712,锦龙股份,17.92,2.99,960万,172,1029万,-1355万,-326万,-1.42,8958万,-7672万,1286万,5.59,8590万,-9151万,-561万,-2.44,4247万,-4646万,-399万,-1.73
331,000925,众合机电,18.30,3.74,952万,373,1515万,-1706万,-191万,-0.90,9167万,-8025万,1143万,5.42,6875万,-7433万,-557万,-2.64,3120万,-3515万,-395万,-1.87
332,600290,华仪电气,11.31,0.00,951万,19,2065万,-778万,1287万,8.70,4403万,-4738万,-335万,-2.27,5765万,-6548万,-783万,-5.30,2536万,-2704万,-168万,-1.14
333,603609,禾丰牧业,14.52,0.76,946万,95,1241万,-422万,820万,5.10,2979万,-2852万,127万,0.79,5974万,-6408万,-433万,-2.70,5792万,-6304万,-513万,-3.19
334,600615,丰华股份,11.09,10.02,945万,233,2844万,-1016万,1828万,56.69,145万,-1029万,-883万,-27.40,2万,-661万,-658万,-20.41,0万,-287万,-287万,-8.89
335,600727,鲁北化工,5.23,1.95,942万,7,356万,-348万,8万,0.13,1986万,-1052万,934万,16.18,2017万,-2287万,-270万,-4.67,1410万,-2083万,-673万,-11.64
336,000757,浩物股份,6.44,4.04,936万,355,0万,-14万,-14万,-0.17,2349万,-1398万,950万,11.57,3523万,-3596万,-73万,-0.89,1982万,-2845万,-863万,-10.51
337,600111,包钢稀土,22.95,0.75,933万,285,1.09亿,-7697万,3180万,3.80,2.47亿,-2.69亿,-2247万,-2.69,3.04亿,-3.04亿,-10万,-0.01,1.73亿,-1.83亿,-923万,-1.10
338,002428,云南锗业,14.15,0.00,930万,943,3672万,-2818万,853万,2.32,1.17亿,-1.16亿,77万,0.21,1.32亿,-1.42亿,-1003万,-2.72,7318万,-7245万,73万,0.20
339,002251,步 步 高,13.40,1.06,927万,105,706万,-193万,513万,3.57,3997万,-3584万,414万,2.88,6057万,-6154万,-97万,-0.67,3499万,-4329万,-830万,-5.78
340,300281,金明精机,20.01,6.21,924万,41,151万,0万,151万,2.64,1961万,-1188万,773万,13.54,2370万,-2762万,-392万,-6.87,1189万,-1721万,-531万,-9.31
341,603806,N福斯特,39.14,44.00,924万,6,767万,0万,767万,79.34,156万,0万,156万,16.15,38万,0万,38万,3.89,0万,-961万,-961万,-99.38
342,600664,哈药股份,7.80,4.42,919万,34,3717万,-3026万,691万,2.51,8319万,-8091万,228万,0.83,9379万,-8901万,478万,1.73,6100万,-7497万,-1397万,-5.07
343,002420,毅昌股份,6.50,2.20,914万,51,619万,-256万,363万,6.55,1928万,-1376万,551万,9.96,1628万,-2372万,-744万,-13.44,1308万,-1478万,-170万,-3.08
344,002384,东山精密,12.13,2.80,912万,85,567万,-121万,446万,5.88,1829万,-1364万,466万,6.14,3108万,-3602万,-494万,-6.50,1986万,-2404万,-418万,-5.51
